AppID	AppName	AppLabelID	PlatformID	AppIndustry	Price	NumOfInstalls	AverageStar	WebLink	Description	IconURL	Deleted
1	Tailor Boutique Clothes Shop	39	1	Girl Games - Vasco Games	0	100,000-500,000	0	https://play.google.com/store/apps/details?id=com.tgg.tailorboutiqueclothesshop	Design dresses and clothes for happy customers in Tailor Boutique Clothes Shop.	//lh3.googleusercontent.com/6XViQyin61Iths2zgOGPCgA5RNUZ18TXw1XWyBAakq75JBDBGWrPoCMJ3RFAC77YbCY=w300	0
2	Little Super Chef Cooking Game	39	1	Girl Games - Vasco Games	0	100,000-500,000	0	https://play.google.com/store/apps/details?id=com.tgg.littlesuperchefcookinggame	*new Dishes for you create the most delicious pancakes and healthy fruit drinks!* 	//lh3.googleusercontent.com/3JcZdHWpL9cDKUeJxnCLKxEzgnDnZ6jamRVPjmKpWINgYK-bbTN-jv3xD8hNw28SCUw=w300	0
3	Princess Game Salon Angela 3D	39	1	Kaufcom Games Apps Widgets	0	5,000,000-10,000,000	0	https://play.google.com/store/apps/details?id=com.kauf.princessgamesalonangela3d	Meet Angela the super star princess. As all the celebrities she needs to look beautiful in every occasion as she can never know who she is going to meet.	//lh3.googleusercontent.com/dclTKFMz4OmwAbkkrn9-6Sc_oCH4xt7GxcDOvQ3cP3bHRik_Lw7m8z32g3vEFsTvkug=w300	0
4	Pop Girls - High School Band	39	1	TabTale	0	1,000,000-5,000,000	0	https://play.google.com/store/apps/details?id=com.tabtale.girlsband	Join the Pop Girls - the coolest high school band - on their biggest tour ever! 	//lh3.googleusercontent.com/o_Z-SSutCYNvsTwmSRixMxyZ223YAHZEVBDHWOSm2s4qtrGxbPflpBWDi9TZFM5FLdY=w300	0
5	Aqua Waterslide Rush Racing	45	1	Chief Gamer	0	1,000,000-5,000,000	0	https://play.google.com/store/apps/details?id=com.cg.aquawatersliderushracing		//lh3.googleusercontent.com/8jgAtMX8Bzos2l-37_NOQzWgN7uWWKmX2N4t9LrQM04RKn5BHFh0T9-0_SP47BPEx8I=w300	0
6	Strawberry Shortcake Dress Up	39	1	Budge Studios	0	10,000,000-50,000,000	0	https://play.google.com/store/apps/details?id=com.budgestudios.StrawberryShortcakeDressUp	Welcome to the berry ultimate Dress-Up app! Your child will have hours of fashion fun dressing up Strawberry Shortcake and her friends in mix-and-match fresh-and-fruity outfits and accessories. They can even take a photo and decorate it with stickers, frames and custom messages. 	//lh3.googleusercontent.com/dwIW2g4LMULkihyiAkgzi-QN0PxUwCzXrPAgWt20FAyeOXIT_Gbpr3phZj8Ihm67hAc=w300	0
7	Prize Claw Machine Fidget Spinner	45	1	Octopus Kids Academy	0	500-1,000	0	https://play.google.com/store/apps/details?id=com.oka.prizeclaw.machine	Want to relieve your stress from a tiring day? Then this fidget spinner prize claw machine claw game is best for you! Download fidget spinner prize claw machine claw game after tiring day at work or to distract your children from making a mess. 	//lh3.googleusercontent.com/IPr5TYwrFJSz8_RzxbAXID7fB8vqJf3Dlj-ochW2L37ITfn01KmG6GKx_vge1OPfxgk=w300	0
8	Mr. Blocky Emergency Car Craft	45	1	Awesome Kids Games	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.akg.mrblockyemergencycarcraft	Amazing ambulance, firefighter and police craft simulator!	//lh3.googleusercontent.com/wNU-Hrs3wma-ohpBmXmpIvFRomJIVZqqApBnqQSktwzUS2U4NHn9E6gxSnfMD8q5vKE=w300	0
9	Super Mom Pregnant Surgery Hospital	39	1	Tik Tok	0	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.tt.supermom.pregnant	Become a surgery doctor for a day and save super mom and super baby in pregnant mom pregnancy surgery baby pregnancy super mom mommy games! In the hospital clinic setting of surgery simulation games for mom be the gynaecologist and see the birth of super baby. 	//lh3.googleusercontent.com/m3X_SDRVMU9KZBH-sj0_9v_G0fjYOb3U0owRkDcVXn6nnloRDPTSEonAYkvZ5bV_Fg=w300	0
10	Rock Paper Scissor Battle Challenge	39	1	Rock Paper Scissors Games	0	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.rps.rockpaper.scissor	Challenge rock paper scissors challenge to opponent whether friend or artificial, computer challenger. Download fun rps rock paper scissors epic battle rps game to make decisions like real rock paper scissors classic battle or play to have fun between 2player in two player game rock paper scissors epic battle!! 	//lh3.googleusercontent.com/rTRaIivO9-0Qqp2RvNWdALP87yx864WbEB6PrUKO9sLbQ6BwVio5C4AF7qRSmUk8Rd47=w300	0
11	Blocky Claw Machine Prize Circus	35	1	Chief Gamer	0	5,000-10,000	0	https://play.google.com/store/apps/details?id=com.cg.blockyclawmachineprizecircus		//lh3.googleusercontent.com/ybbimMoRnkT59YeyYLFsalqYxvMs6OSHNRK-wqpwiKCyms8tyYm_5nk2J5-CdU7pQhEX=w300	0
12	Virtual Family Mommy Simulator	34	1	Nemo Games 3D Simulator	0	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.nemogames.virtualfamily.mommy	Oh no your babies have made the house un tidy again! Looks like virtual mom has to become super mom again and tidy the messy house, the kitchen, the living room, do the cooking, dish washing, ironing and cleaning and looking after the babies.	//lh3.googleusercontent.com/djk2tTstI6QaH5XbvArZk5qudY9P0eKRvRsRzOX5vZTmN4L-g7ZJAd74eo2pVwKWIG4=w300	0
13	Halloween Monster Food Maker - Vampire Party Night	40	1	Kids Food Games Inc.	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.kidsfoodinc.monster_food_make	It&#39;s wonderful! It&#39;s ghostly! Here comes the treat or trick time again! 	//lh3.googleusercontent.com/zT8BYiswQfAubQ5sHIv97GOwgggarQmIzIsLYe4gV8hr8NJ1w6VeUNWEf5Nyhj6Iu9YT=w300	0
14	Cooking Games Cafe - Chef Food Games &amp; Restaurant	35	1	Cooking Games for Girls - Kids Games Studios	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.cook.cookinggamescafe		//lh3.googleusercontent.com/2cehvpZy7FtBeqmkQuXmSjJ2iNokuRuPToYHzfIRZ_k--SmDRqTm8FagKNx1WZH48xAg=w300	0
15	Gossip Girl 3 - The New Prom Queen	44	1	Dress Up Games!	0	5,000-10,000	0	https://play.google.com/store/apps/details?id=com.disney.gossip.girl.story.games	Hi, I am Serena Miller. I used to be a normal high school student. But something happened. I got tangled into Regina, who is the Prom Queen of the school, and her boyfriend Nate&#39;s affair. Now every move I make is being talked about.	//lh3.googleusercontent.com/xUhl0R0Khmpmo7yhjNSO3FxUZlfQ7mOKJyWy28JC4N_WEkwQIBAqJuyE62oFwBT_TJo=w300	0
16	Toy Surprise Eggs Machine	39	1	Octopus Kids Academy	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.oka.toysurprise	Want to busy your children this coming Easter? Want them to value the festivity of Easter like it was in your time? Wan them to appreciate the thrill of toy surprise toy eggs? Or simply, cant get a break from house chores and children chores? Then this is the perfect place for you! Get yourself a break and your child a toy surprise toy egg. 	//lh3.googleusercontent.com/NIjtqPhGAczzFuqZYRNKkv8bfB9YACLT_H4malPWWs3d0obchB1lAvCe6E1RCTcBM17n=w300	0
17	Masha and the Bear: Hair Salon and MakeUp Games	44	1	Indigo Kids Education Games	0	50,000-100,000	0	https://play.google.com/store/apps/details?id=com.indigokids.mashamakeup	As we all know girls like to play with dolls. We give your kid an opportunity to develop creative abilities and embody childish fantasies with only imagination as a limit. Indigo Kids presents a new makeup game for girls based on popular cartoon &quot;Masha and the Bear&quot;. Open your own beauty salon and become a professional makeup artist with Masha!	//lh3.googleusercontent.com/4RFROZ_NU8X5sA26-khAena6iacHVuHrs4cfQpZKajaY2Y9BA-gBawf7mpqh2Jmaog=w300	0
18	Mermaid Princess Love Story Dress Up &amp; Salon Game	44	1	Bear Hug Media Inc	0	50,000-100,000	0	https://play.google.com/store/apps/details?id=com.bearhugmedia.little_mermaid_love	A beautiful mermaid princess Elissa became a human girl on her 12th birthday. What will happen once she enters the human world?	//lh3.googleusercontent.com/uSv4RxQU14PhpaUHH7ad2QffoU7R-t3rTQwX4x42McjlITPi1rk1aFTwGI-7mh-3iw=w300	0
19	Dance War - Ballet vs Hiphop	44	1	Beauty Inc	0	5,000-10,000	0	https://play.google.com/store/apps/details?id=com.hearst.now.seventeen.ballet.hiphop.dress.up.games	What&#39;s better - Ballet or Hip hop?!	//lh3.googleusercontent.com/YKMY_KEZ-iOi8iuFV3RsmOdZTHo0bPddE0xp516aIYb3iJqFri5eRJqs83CckXV9t-xa=w300	0
20	Airport Professions: Kids Games	40	1	Hippo Kids Games	0	10,000-50,000	0	https://play.google.com/store/apps/details?id=com.hippo.AirportProfession	There is a huge airport in the Hippo town. A lot of passengers use its services every day. Airport must have a lot of workers and managers to satisfy the passengers&#39; needs. Airport is the place where people of different professions are working together. There are stewardess and pilot, cashier and security officer. And the shop assistant of duty free shop invites everybody to visit the shop. Today we are going to learn about the professions which serve the airport in the Hippo town. The most skillful crew invites you to our plane. Let&#39;s go! Unbelievable adventures are waiting for us!	//lh3.googleusercontent.com/f5G3M7QP6RVYoenEnyKvYZHWaCaPcETWADufFjbjTY-jz12qX1d6L0PZdhyDgnSJUQ=w300	0
